state,state_name,year,total,chronic,sh_chronic,uns_chronic,non_chronic,sh_chronic_ind,uns_chronic_ind,sh_chronic_fam,uns_chronic_fam
AZ,Arizona ,2013,10562.0,1188.0,520.0,668.0,9374.0,450.0,614.0,70.0,54.0
CA,California ,2013,118552.0,33112.0,5251.0,27861.0,85440.0,4177.0,25071.0,1074.0,2790.0
CO,Colorado ,2013,9754.0,1780.0,846.0,934.0,7974.0,665.0,689.0,181.0,245.0
CT,Connecticut ,2013,4448.0,1046.0,678.0,368.0,3402.0,542.0,330.0,136.0,38.0
DC,Washington DC,2013,6865.0,2027.0,1566.0,461.0,4838.0,1303.0,461.0,263.0,0.0
DE,Delaware ,2013,946.0,71.0,68.0,3.0,875.0,62.0,3.0,6.0,0.0
FL,Florida ,2013,47862.0,9647.0,1873.0,7774.0,38215.0,1608.0,6170.0,265.0,1604.0
GA,Georgia ,2013,16971.0,3082.0,936.0,2146.0,13889.0,842.0,1871.0,94.0,275.0
HI,Hawaii ,2013,6335.0,1180.0,273.0,907.0,5155.0,212.0,819.0,61.0,88.0
IA,Iowa ,2013,3084.0,327.0,258.0,69.0,2757.0,208.0,69.0,50.0,0.0
ID,Idaho ,2013,1781.0,271.0,165.0,106.0,1510.0,105.0,88.0,60.0,18.0
IL,Illinois ,2013,13425.0,1574.0,980.0,594.0,11851.0,890.0,513.0,90.0,81.0
IN,Indiana ,2013,6096.0,580.0,409.0,171.0,5516.0,343.0,168.0,66.0,3.0
KS,Kansas ,2013,2693.0,356.0,249.0,107.0,2337.0,204.0,100.0,45.0,7.0
KY,Kentucky ,2013,5245.0,541.0,268.0,273.0,4704.0,219.0,175.0,49.0,98.0
LA,Louisiana ,2013,5226.0,1115.0,245.0,870.0,4111.0,227.0,788.0,18.0,82.0
MA,Massachusetts ,2013,19029.0,2115.0,1715.0,400.0,16914.0,1180.0,397.0,535.0,3.0
MD,Maryland ,2013,8205.0,1480.0,862.0,618.0,6725.0,725.0,524.0,137.0,94.0
ME,Maine ,2013,3016.0,176.0,176.0,0.0,2840.0,159.0,0.0,17.0,0.0
MI,Michigan ,2013,11527.0,1106.0,666.0,440.0,10421.0,578.0,391.0,88.0,49.0
MN,Minnesota ,2013,8214.0,1350.0,1001.0,349.0,6864.0,622.0,293.0,379.0,56.0
MO,Missouri ,2013,8581.0,1037.0,601.0,436.0,7544.0,394.0,301.0,207.0,135.0
